INCLUIR DADOS NA SEQUENCIA SEM ALTERAR OUTRAS INFORMAÇÕES NA PLANILHA,,,
SARF,IG,CNPJ,RAZÃO SOCIAL
202000073,IC2000073,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
202000075,IC2000075,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
202000076,IC2000072,03187899000125,ALFA TELECOM COM E SERV DE TECNOLOGIA EM REDE
202000080,IC2000080,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
202000081,IC2000081,21556019000199,TAVARES E SILVA CONSTRUCAO E REFORMAS LTDA
202000088,IC2000088,17015086000129,KOMPETENZ CLIMATIZAÇÃO LTDA ME
202000089,IC2000089,08289532700133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
202000090,IC2000090,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERS.
202000091,IC2000091,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
202000112,IC2000112,15402398000160,MAXI EMPREENDIMENTOS IMOBILIARIOS LTDA
202000118,IC2000118,06932604000152,EVA CONSTRUCOES LTDA
202000120,IC2000120,83476911000117,FUNDAÇÃO DE AMPARO A PESQUISA E EXTENSÃO UNIVERSITÁRIA
202000123,IC2000123,10439655000114,PEDRO REGINALDO DE ALBERNAZ FARIA E FAGUNDES LTDA
202000128,IC2000128,82895327000133,FUNDAÇÃO DE ENSINO E ENGENHARIA DE SANTA CATARINA
202000129,IC2000129,13475113000195,PRIS SOFTWARE LTDA
202000130,IC2000130,01181242000272,COMPWIRE INFORMÁTICA LTDA
